ID,날짜,요일,계획 휴무,바뀐 행,좋아진 행,나빠진 행,Δ오차 합(kWh)
R,2021-07-31,토,True,8,8,0,-565.1215119920735
R,2021-08-02,월,True,17,17,0,-2047.447648334972
R,2021-08-03,화,True,24,24,0,-2722.4179551757093
G,2021-07-07,수,False,1,1,0,-5.704177303673461
G,2021-07-08,목,False,1,0,1,4.198676099942304
G,2021-07-09,금,False,1,0,1,4.729285112870656
G,2021-07-10,토,False,2,2,0,-47.8629054506204
G,2021-07-14,수,False,1,0,1,5.000018846803172
G,2021-07-16,금,False,1,1,0,-4.056416365627939
G,2021-07-17,토,False,1,1,0,-55.82295268190383
G,2021-07-20,화,False,1,0,1,4.074392072198904
G,2021-07-21,수,False,1,0,1,5.764098672111999
G,2021-07-24,토,False,1,1,0,-49.13100210395171
G,2021-07-30,금,False,1,0,1,8.842425525759268
G,2021-07-31,토,True,9,8,1,-526.6741003370782
G,2021-08-02,월,True,16,16,0,-2009.1937636293983
G,2021-08-03,화,True,23,23,0,-2684.1978685653035
G,2021-08-09,월,False,1,0,1,30.9716101452046
G,2021-08-10,화,False,1,1,0,-1.754877921993554
G,2021-08-14,토,False,1,1,0,-56.84944290038309
G,2021-08-16,월,False,1,0,1,55.420950638349886
G,2021-08-21,토,False,1,1,0,-25.901880861674158
G,2021-08-23,월,False,1,0,1,56.60912544882297
G,2021-08-25,수,False,1,1,0,-7.416216642130578
G,2021-08-26,목,False,1,1,0,-4.281471891894569
G,2021-08-27,금,False,1,1,0,-4.39081589313237
G,2021-08-30,월,False,1,0,1,49.78260555288931
G,2021-08-31,화,False,1,1,0,-5.477217030528038
RG,2021-07-07,수,False,1,1,0,-5.704177303673461
RG,2021-07-08,목,False,1,0,1,4.198676099942304
RG,2021-07-09,금,False,1,0,1,4.729285112870656
RG,2021-07-10,토,False,2,2,0,-47.8629054506204
RG,2021-07-14,수,False,1,0,1,5.000018846803172
RG,2021-07-16,금,False,1,1,0,-4.056416365627939
RG,2021-07-17,토,False,1,1,0,-55.82295268190383
RG,2021-07-20,화,False,1,0,1,4.074392072198904
RG,2021-07-21,수,False,1,0,1,5.764098672111999
RG,2021-07-24,토,False,1,1,0,-49.13100210395171
RG,2021-07-30,금,False,1,0,1,8.842425525759268
RG,2021-07-31,토,True,8,8,0,-565.1215119920735
RG,2021-08-02,월,True,17,17,0,-2047.447648334972
RG,2021-08-03,화,True,24,24,0,-2722.4179551757093
RG,2021-08-09,월,False,1,0,1,30.9716101452046
RG,2021-08-10,화,False,1,1,0,-1.754877921993554
RG,2021-08-14,토,False,1,1,0,-56.84944290038309
RG,2021-08-16,월,False,1,0,1,55.420950638349886
RG,2021-08-21,토,False,1,1,0,-25.901880861674158
RG,2021-08-23,월,False,1,0,1,56.60912544882297
RG,2021-08-25,수,False,1,1,0,-7.416216642130578
RG,2021-08-26,목,False,1,1,0,-4.281471891894569
RG,2021-08-27,금,False,1,1,0,-4.39081589313237
RG,2021-08-30,월,False,1,0,1,49.78260555288931
RG,2021-08-31,화,False,1,1,0,-5.477217030528038
