,예측 일평균,예측 일평균,경보 시간(≥τ_A),경보 시간(≥τ_A)
ID,A,D,A,D
날짜,,,,
2021-09-01,42.0011178960608,21.795243219183117,0,0
2021-09-02,39.91472321289538,21.532781627181492,0,0
2021-09-03,59.749622452809,21.63075667676979,0,0
2021-09-06,108.90169019287771,22.2485786785643,8,0
2021-09-07,131.33135890357696,22.36839263977035,8,0
2021-09-08,121.27739952069153,22.537763079096067,6,0
2021-09-09,134.80880231308933,22.21420243116373,6,0
2021-09-10,80.65580251125873,22.520452619890403,1,0
2021-09-13,107.48117465412075,22.28447888325392,7,0
2021-09-14,135.15362743440332,22.337786490644934,8,0
