사례,날짜,요일,방식,실측 일평균,예측 일평균,MAE,레짐 분포,실제 피크 시간,경보 시간(≥τ_A),적중 경보
문제일(OOF),2021-07-31,토,A,21.541666666666668,46.02311489445831,24.578029952658152,0:16 1:2 2:6,0,0,0
문제일(OOF),2021-08-02,월,A,21.458333333333332,107.3888561409297,86.0899754567755,0:7 1:1 2:16,0,8,0
문제일(OOF),2021-08-03,화,A,21.625,135.88701995913152,114.26201995913152,1:1 2:23,0,8,0
문제일(OOF),2021-07-31,토,R,21.541666666666668,22.35662530665556,1.0313002863217606,0:24,0,0,0
문제일(OOF),2021-08-02,월,R,21.458333333333332,21.83701046362883,0.7796567761516636,0:24,0,0,0
문제일(OOF),2021-08-03,화,R,21.625,21.87762743189875,0.8279384934769775,0:24,0,0,0
문제일(OOF),2021-07-31,토,Rsoft,21.541666666666668,25.741900983884857,4.350757811639021,0:22 1:2,0,0,0
문제일(OOF),2021-08-02,월,Rsoft,21.458333333333332,23.43092232636107,2.3735686388839086,0:23 1:1,0,0,0
문제일(OOF),2021-08-03,화,Rsoft,21.625,24.98027069977039,3.93058176134862,0:22 1:2,0,0,0
평일 공휴일(학습 내),2021-02-12,금,A,47.333333333333336,48.80553372252265,2.3272694009740875,0:16 1:1 2:7,0,0,0
평일 공휴일(학습 내),2021-02-12,금,R,47.333333333333336,23.359846999611904,24.193626005802432,0:24,0,0,0
평일 공휴일(학습 내),2021-02-12,금,Rsoft,47.333333333333336,25.09918195079705,22.45448843264767,0:23 1:1,0,0,0
ERP 결측 가동일,2021-07-13,화,A,136.08333333333334,135.0402249515242,29.94642755063479,1:1 2:23,4,8,0
ERP 결측 가동일,2021-07-15,목,A,135.66666666666666,140.31527805437946,27.380678241470694,2:24,5,8,1
ERP 결측 가동일,2021-07-13,화,R,136.08333333333334,22.555557927944125,113.5277754053892,0:24,4,0,0
ERP 결측 가동일,2021-07-15,목,R,135.66666666666666,22.364906012299485,113.30176065436719,0:24,5,0,0
ERP 결측 가동일,2021-07-13,화,Rsoft,136.08333333333334,34.554962213944194,101.52837111938913,0:17 1:7,4,0,0
ERP 결측 가동일,2021-07-15,목,Rsoft,135.66666666666666,22.364906012299485,113.30176065436719,0:24,5,0,0
