시나리오,날짜,요일,휴무 n일차,공휴일 표시,ID,예측 일평균,08~17시 가동 배정,경보 시간(≥τ_A)
단일 평일 휴무,2021-09-01,수,1,0,A,42.0011178960608,0,0
단일 평일 휴무,2021-09-01,수,1,0,R,21.506009464828754,0,0
단일 평일 휴무,2021-09-01,수,1,0,G,21.506009464828754,0,0
단일 평일 휴무,2021-09-02,목,1,0,A,39.91472321289538,0,0
단일 평일 휴무,2021-09-02,목,1,0,R,21.607152189148497,0,0
단일 평일 휴무,2021-09-02,목,1,0,G,21.607152189148497,0,0
단일 평일 휴무,2021-09-03,금,1,0,A,59.749622452809,0,0
단일 평일 휴무,2021-09-03,금,1,0,R,21.7827462012291,0,0
단일 평일 휴무,2021-09-03,금,1,0,G,21.7827462012291,0,0
단일 평일 휴무,2021-09-06,월,2,0,A,108.90169019287771,10,8
단일 평일 휴무,2021-09-06,월,2,0,R,22.434375241827638,0,0
단일 평일 휴무,2021-09-06,월,2,0,G,22.434375241827638,0,0
단일 평일 휴무,2021-09-07,화,1,0,A,131.33135890357696,10,8
단일 평일 휴무,2021-09-07,화,1,0,R,22.54762517192991,0,0
단일 평일 휴무,2021-09-07,화,1,0,G,22.54762517192991,0,0
단일 평일 휴무,2021-09-08,수,1,0,A,121.27739952069153,8,6
단일 평일 휴무,2021-09-08,수,1,0,R,22.255527702986086,0,0
단일 평일 휴무,2021-09-08,수,1,0,G,22.255527702986086,0,0
단일 평일 휴무,2021-09-09,목,1,0,A,134.80880231308933,10,6
단일 평일 휴무,2021-09-09,목,1,0,R,22.06763605861593,0,0
단일 평일 휴무,2021-09-09,목,1,0,G,22.06763605861593,0,0
단일 평일 휴무,2021-09-10,금,1,0,A,80.65580251125873,3,1
단일 평일 휴무,2021-09-10,금,1,0,R,22.061238447345414,0,0
단일 평일 휴무,2021-09-10,금,1,0,G,22.061238447345414,0,0
단일 평일 휴무,2021-09-13,월,2,0,A,107.48117465412075,10,7
단일 평일 휴무,2021-09-13,월,2,0,R,22.418295124708095,0,0
단일 평일 휴무,2021-09-13,월,2,0,G,22.418295124708095,0,0
단일 평일 휴무,2021-09-14,화,1,0,A,135.15362743440332,10,8
단일 평일 휴무,2021-09-14,화,1,0,R,22.31130618031302,0,0
단일 평일 휴무,2021-09-14,화,1,0,G,22.31130618031302,0,0
단일 평일 휴무 + 공휴일 표시,2021-09-01,수,1,1,A,41.88124434966232,0,0
단일 평일 휴무 + 공휴일 표시,2021-09-01,수,1,1,R,21.515894567720093,0,0
단일 평일 휴무 + 공휴일 표시,2021-09-01,수,1,1,G,21.515894567720093,0,0
단일 평일 휴무 + 공휴일 표시,2021-09-02,목,1,1,A,32.3568835961976,0,0
