,y_avg,y_avg,y_peak,y_peak
,mean,max,mean,max
datetime,,,,
2021-01-01,46.25,107.0,49.708333333333336,116.0
2021-01-02,46.333333333333336,107.0,49.791666666666664,116.0
2021-01-03,22.875,25.0,23.958333333333332,27.0
2021-01-04,121.5,160.0,131.33333333333334,173.0
2021-01-05,21.916666666666668,24.0,23.125,26.0
2021-01-06,21.916666666666668,24.0,23.125,26.0
2021-01-07,104.29166666666667,175.0,112.375,182.0
2021-01-08,125.45833333333333,166.0,136.04166666666666,180.0
2021-01-09,85.91666666666667,169.0,93.29166666666667,181.0
2021-01-10,73.25,164.0,77.04166666666667,177.0
2021-01-11,127.33333333333333,168.0,135.5,175.0
2021-01-12,21.916666666666668,24.0,23.125,26.0
2021-01-13,21.916666666666668,24.0,23.125,26.0
2021-01-14,112.33333333333333,186.0,123.04166666666667,204.0
2021-01-15,137.875,188.0,147.83333333333334,198.0
2021-01-16,79.58333333333333,177.0,85.29166666666667,185.0
2021-01-17,140.45833333333334,190.0,149.375,197.0
2021-01-18,133.70833333333334,177.0,144.08333333333334,186.0
2021-01-19,21.916666666666668,24.0,23.125,26.0
2021-01-20,21.916666666666668,24.0,23.125,26.0
2021-01-21,112.5,190.0,122.66666666666667,208.0
2021-01-22,134.0,172.0,146.16666666666666,189.0
2021-01-23,129.08333333333334,163.0,139.16666666666666,174.0
2021-01-24,135.83333333333334,182.0,147.58333333333334,190.0
2021-01-25,134.95833333333334,180.0,146.25,186.0
2021-01-26,21.916666666666668,24.0,23.125,26.0
2021-01-27,21.916666666666668,24.0,23.125,26.0
2021-01-28,112.20833333333333,185.0,121.79166666666667,198.0
2021-01-29,138.04166666666666,202.0,148.33333333333334,222.0
2021-01-30,131.79166666666666,180.0,142.20833333333334,193.0
2021-01-31,21.916666666666668,24.0,23.125,26.0
2021-02-01,128.95833333333334,179.0,139.16666666666666,195.0
2021-02-02,129.54166666666666,182.0,139.54166666666666,191.0
2021-02-03,127.375,170.0,136.375,181.0
2021-02-04,121.5,160.0,131.33333333333334,173.0
2021-02-05,46.333333333333336,107.0,49.791666666666664,116.0
2021-02-06,47.333333333333336,109.0,51.208333333333336,113.0
2021-02-07,22.875,25.0,23.833333333333332,27.0
2021-02-08,125.45833333333333,166.0,136.04166666666666,180.0
2021-02-09,127.0,172.0,136.0,181.0
2021-02-10,126.16666666666667,166.0,133.29166666666666,177.0
2021-02-11,127.33333333333333,168.0,135.5,175.0
2021-02-12,47.333333333333336,109.0,51.208333333333336,113.0
2021-02-13,47.333333333333336,109.0,51.208333333333336,113.0
2021-02-14,22.875,25.0,23.833333333333332,27.0
2021-02-15,137.875,188.0,147.83333333333334,198.0
2021-02-16,135.5,180.0,145.625,193.0
2021-02-17,140.45833333333334,190.0,149.375,197.0
2021-02-18,133.70833333333334,177.0,144.08333333333334,186.0
2021-02-19,46.375,115.0,50.125,119.0
2021-02-20,47.333333333333336,109.0,51.208333333333336,113.0
2021-02-21,22.875,25.0,23.833333333333332,27.0
2021-02-22,134.0,172.0,146.16666666666666,189.0
2021-02-23,129.08333333333334,163.0,139.16666666666666,174.0
2021-02-24,135.83333333333334,182.0,147.58333333333334,190.0
2021-02-25,134.95833333333334,180.0,146.25,186.0
2021-02-26,50.25,125.0,54.291666666666664,131.0
2021-02-27,47.333333333333336,109.0,51.208333333333336,113.0
2021-02-28,22.875,25.0,23.833333333333332,27.0
2021-03-01,128.95833333333334,179.0,139.16666666666666,195.0
2021-03-02,129.54166666666666,182.0,139.54166666666666,191.0
2021-03-03,127.375,170.0,136.375,181.0
2021-03-04,121.5,160.0,131.33333333333334,173.0
