,날짜,행순서,기온
0,20210713,0,25.1
1,20210713,1,25.0
2,20210713,2,24.9
3,20210713,3,24.7
4,20210713,4,24.5
5,20210713,5,24.7
6,20210713,6,25.8
7,20210713,7,27.5
8,20210713,8,29.2
9,20210713,9,29.3
10,20210713,10,31.3
11,20210713,11,31.6
12,20210713,12,31.9
13,20210713,13,30.1
14,20210713,14,32.7
15,20210713,15,30.5
16,20210713,16,29.7
17,20210713,17,28.4
18,20210713,18,28.2
19,20210713,19,27.5
20,20210713,20,27.0
21,20210713,21,27.3
22,20210713,22,26.8
23,20210713,23,26.3
24,20210715,0,25.6
25,20210715,1,25.8
26,20210715,2,25.7
27,20210715,3,24.9
28,20210715,4,24.5
29,20210715,5,24.7
30,20210715,6,25.4
31,20210715,7,26.6
32,20210715,8,27.5
33,20210715,9,29.3
34,20210715,10,30.0
35,20210715,11,29.8
36,20210715,12,30.1
37,20210715,13,30.3
38,20210715,14,29.3
39,20210715,15,28.7
40,20210715,16,28.7
41,20210715,17,27.1
42,20210715,18,26.6
43,20210715,19,25.8
44,20210715,20,25.3
45,20210715,21,25.3
46,20210715,22,25.4
47,20210715,23,24.9
