시간,1,2,3,4,5,6,7,8,9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,25.8,14.3,29.0,3.3,6.5,30.0,54.8,25.8,35.7
9,12.9,10.7,16.1,3.3,3.2,16.7,45.2,29.0,28.6
10,6.5,14.3,16.1,0.0,0.0,16.7,38.7,22.6,28.6
11,16.1,3.6,16.1,0.0,0.0,16.7,48.4,32.3,35.7
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,19.4,10.7,22.6,0.0,0.0,23.3,32.3,22.6,28.6
14,9.7,3.6,9.7,0.0,0.0,10.0,45.2,25.8,28.6
15,6.5,0.0,6.5,0.0,0.0,6.7,35.5,16.1,7.1
16,0.0,0.0,0.0,0.0,0.0,0.0,22.6,12.9,7.1
17,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,12.9,3.2,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
