,모델,Recall,Precision
0,피크 직접분류,1.0,0.12197028928850664
1,피크 직접분류,1.0,0.12206572769953052
2,피크 직접분류,1.0,0.12216131558339859
3,피크 직접분류,1.0,0.12225705329153605
4,피크 직접분류,1.0,0.1223529411764706
5,피크 직접분류,1.0,0.12244897959183673
6,피크 직접분류,1.0,0.12254516889238021
7,피크 직접분류,1.0,0.12264150943396226
8,피크 직접분류,1.0,0.12273800157356413
9,피크 직접분류,1.0,0.12283464566929134
10,피크 직접분류,1.0,0.12293144208037825
11,피크 직접분류,1.0,0.12302839116719243
12,피크 직접분류,1.0,0.12312549329123915
13,피크 직접분류,1.0,0.12322274881516587
14,피크 직접분류,1.0,0.1233201581027668
15,피크 직접분류,1.0,0.12341772151898735
16,피크 직접분류,1.0,0.12351543942992874
17,피크 직접분류,1.0,0.12361331220285261
18,피크 직접분류,1.0,0.12371134020618557
19,피크 직접분류,1.0,0.12380952380952381
20,피크 직접분류,1.0,0.12390786338363781
21,피크 직접분류,1.0,0.12400635930047695
22,피크 직접분류,1.0,0.12410501193317422
23,피크 직접분류,1.0,0.12420382165605096
24,피크 직접분류,1.0,0.12430278884462151
25,피크 직접분류,1.0,0.12440191387559808
26,피크 직접분류,1.0,0.12450119712689545
27,피크 직접분류,1.0,0.12460063897763578
28,피크 직접분류,1.0,0.12470023980815348
29,피크 직접분류,1.0,0.1248
30,피크 직접분류,1.0,0.12489991993594876
31,피크 직접분류,1.0,0.125
32,피크 직접분류,1.0,0.12510024057738572
33,피크 직접분류,1.0,0.12520064205457465
34,피크 직접분류,1.0,0.12530120481927712
35,피크 직접분류,1.0,0.12540192926045016
36,피크 직접분류,1.0,0.1255028157683025
37,피크 직접분류,1.0,0.12560386473429952
38,피크 직접분류,1.0,0.12570507655116842
39,피크 직접분류,1.0,0.12580645161290321
40,피크 직접분류,1.0,0.12590799031476999
41,피크 직접분류,1.0,0.1260096930533118
42,피크 직접분류,1.0,0.12611156022635409
43,피크 직접분류,1.0,0.1262135922330097
44,피크 직접분류,1.0,0.12631578947368421
45,피크 직접분류,1.0,0.12641815235008103
46,피크 직접분류,1.0,0.12652068126520682
47,피크 직접분류,1.0,0.1266233766233766
48,피크 직접분류,1.0,0.12672623883021933
49,피크 직접분류,1.0,0.12682926829268293
50,피크 직접분류,1.0,0.12693246541903988
51,피크 직접분류,1.0,0.1270358306188925
52,피크 직접분류,1.0,0.1271393643031785
53,피크 직접분류,1.0,0.1272430668841762
54,피크 직접분류,1.0,0.1273469387755102
55,피크 직접분류,1.0,0.12745098039215685
56,피크 직접분류,1.0,0.12755519215044972
57,피크 직접분류,1.0,0.1276595744680851
58,피크 직접분류,1.0,0.12776412776412777
59,피크 직접분류,1.0,0.12786885245901639
60,피크 직접분류,1.0,0.1279737489745693
61,피크 직접분류,1.0,0.12807881773399016
62,피크 직접분류,1.0,0.12818405916187345
63,피크 직접분류,1.0,0.12828947368421054
64,피크 직접분류,1.0,0.12839506172839507
65,피크 직접분류,1.0,0.128500823723229
66,피크 직접분류,1.0,0.12860676009892827
67,피크 직접분류,1.0,0.12871287128712872
68,피크 직접분류,1.0,0.12881915772089184
69,피크 직접분류,1.0,0.12892561983471074
70,피크 직접분류,1.0,0.12903225806451613
71,피크 직접분류,1.0,0.1291390728476821
72,피크 직접분류,1.0,0.12924606462303231
73,피크 직접분류,1.0,0.12935323383084577
74,피크 직접분류,1.0,0.12946058091286308
75,피크 직접분류,1.0,0.12956810631229235
76,피크 직접분류,1.0,0.12967581047381546
77,피크 직접분류,1.0,0.129783693843594
78,피크 직접분류,1.0,0.1298917568692756
79,피크 직접분류,1.0,0.13
80,피크 직접분류,1.0,0.13010842368640535
81,피크 직접분류,1.0,0.1302170283806344
82,피크 직접분류,1.0,0.13032581453634084
83,피크 직접분류,1.0,0.13043478260869565
84,피크 직접분류,1.0,0.1305439330543933
85,피크 직접분류,1.0,0.1306532663316583
86,피크 직접분류,1.0,0.13076278290025148
87,피크 직접분류,1.0,0.13087248322147652
88,피크 직접분류,1.0,0.1309823677581864
89,피크 직접분류,1.0,0.13109243697478992
90,피크 직접분류,1.0,0.1312026913372582
91,피크 직접분류,1.0,0.13131313131313133
92,피크 직접분류,1.0,0.13142375737152484
93,피크 직접분류,1.0,0.1315345699831366
94,피크 직접분류,1.0,0.13164556962025317
95,피크 직접분류,1.0,0.13175675675675674
96,피크 직접분류,1.0,0.13186813186813187
97,피크 직접분류,1.0,0.1319796954314721
98,피크 직접분류,1.0,0.13209144792548688
99,피크 직접분류,1.0,0.13220338983050847
100,피크 직접분류,1.0,0.13231552162849872
101,피크 직접분류,1.0,0.13242784380305603
102,피크 직접분류,1.0,0.13254035683942225
103,피크 직접분류,1.0,0.1326530612244898
104,피크 직접분류,1.0,0.1327659574468085
105,피크 직접분류,1.0,0.13287904599659284
106,피크 직접분류,1.0,0.1329923273657289
107,피크 직접분류,1.0,0.13310580204778158
108,피크 직접분류,1.0,0.1332194705380017
109,피크 직접분류,1.0,0.13333333333333333
110,피크 직접분류,1.0,0.13344739093242086
111,피크 직접분류,1.0,0.13356164383561644
112,피크 직접분류,1.0,0.13367609254498714
113,피크 직접분류,1.0,0.13379073756432247
114,피크 직접분류,1.0,0.13390557939914163
115,피크 직접분류,1.0,0.13402061855670103
116,피크 직접분류,1.0,0.13413585554600171
117,피크 직접분류,1.0,0.1342512908777969
118,피크 직접분류,1.0,0.1343669250645995
119,피크 직접분류,1.0,0.13448275862068965
120,피크 직접분류,1.0,0.13459879206212252
121,피크 직접분류,1.0,0.13471502590673576
122,피크 직접분류,1.0,0.1348314606741573
123,피크 직접분류,1.0,0.13494809688581316
