,trial,fold평균MAE,모델,fold평균PR-AUC
0,0,18.26164215525873,LightGBM 회귀,
1,1,17.51056569072209,LightGBM 회귀,
2,2,17.68019385753187,LightGBM 회귀,
3,3,18.095617618518766,LightGBM 회귀,
4,4,14.782088016756148,LightGBM 회귀,
5,5,17.730031183712775,LightGBM 회귀,
6,6,16.579436593103992,LightGBM 회귀,
7,7,16.22551313923782,LightGBM 회귀,
8,8,16.623732605502877,LightGBM 회귀,
9,9,15.283074410610647,LightGBM 회귀,
10,10,17.573292064359233,LightGBM 회귀,
11,11,15.791247396464039,LightGBM 회귀,
12,12,15.182670677425843,LightGBM 회귀,
13,13,15.499168309875989,LightGBM 회귀,
14,14,17.694048968633002,LightGBM 회귀,
15,15,15.756377785398401,LightGBM 회귀,
16,16,14.790109066433013,LightGBM 회귀,
17,17,13.90902318031141,LightGBM 회귀,
18,18,15.045701853013332,LightGBM 회귀,
19,19,17.045290337350316,LightGBM 회귀,
20,20,15.339577710559706,LightGBM 회귀,
21,21,16.978971762135558,LightGBM 회귀,
22,22,15.355375850525679,LightGBM 회귀,
23,23,17.421782195838013,LightGBM 회귀,
24,24,16.383554636976157,LightGBM 회귀,
25,25,17.190211663389285,LightGBM 회귀,
26,26,16.319408167015283,LightGBM 회귀,
27,27,15.055344196063247,LightGBM 회귀,
28,28,15.82609813329558,LightGBM 회귀,
29,29,14.946982647629516,LightGBM 회귀,
30,30,15.686786786244724,LightGBM 회귀,
31,31,17.138016553567052,LightGBM 회귀,
32,32,15.902454332644847,LightGBM 회귀,
33,33,14.783798276982079,LightGBM 회귀,
34,34,15.930307423114487,LightGBM 회귀,
35,35,16.39307301011068,LightGBM 회귀,
36,36,16.02305917262982,LightGBM 회귀,
37,37,15.959477039232345,LightGBM 회귀,
38,38,17.11560117801231,LightGBM 회귀,
39,39,14.940232297589317,LightGBM 회귀,
40,40,15.133904073845471,LightGBM 회귀,
41,41,16.289089905456855,LightGBM 회귀,
42,42,15.06989811362407,LightGBM 회귀,
43,43,17.567311701681795,LightGBM 회귀,
44,44,17.20946990150629,LightGBM 회귀,
45,45,14.699367482313207,LightGBM 회귀,
46,46,16.61405384044611,LightGBM 회귀,
47,47,15.06001924800728,LightGBM 회귀,
48,48,17.214877634123305,LightGBM 회귀,
49,49,14.98033249567087,LightGBM 회귀,
50,0,,피크 직접분류,0.47949887066276403
51,1,,피크 직접분류,0.5233233740916541
52,2,,피크 직접분류,0.5334593989895255
53,3,,피크 직접분류,0.5134320560427701
54,4,,피크 직접분류,0.5186215844792913
55,5,,피크 직접분류,0.5468675062081543
56,6,,피크 직접분류,0.4998604954527528
57,7,,피크 직접분류,0.5174827249530615
58,8,,피크 직접분류,0.506427389767715
59,9,,피크 직접분류,0.5340299908746855
60,10,,피크 직접분류,0.5395787598152018
61,11,,피크 직접분류,0.5300946830661817
62,12,,피크 직접분류,0.526196351669354
63,13,,피크 직접분류,0.5498586311638691
64,14,,피크 직접분류,0.5337457383772326
65,15,,피크 직접분류,0.5264524738066134
66,16,,피크 직접분류,0.5181819572236052
67,17,,피크 직접분류,0.5312901194522303
68,18,,피크 직접분류,0.542245746857521
69,19,,피크 직접분류,0.5448272881752001
70,20,,피크 직접분류,0.5282643675386722
71,21,,피크 직접분류,0.5268689677728926
72,22,,피크 직접분류,0.5554505310369441
73,23,,피크 직접분류,0.5535921056061204
74,24,,피크 직접분류,0.5499591680486472
75,25,,피크 직접분류,0.5349619000682893
76,26,,피크 직접분류,0.5422557789272718
77,27,,피크 직접분류,0.5425086832382285
78,28,,피크 직접분류,0.5213847523711107
79,29,,피크 직접분류,0.5491755709509913
80,30,,피크 직접분류,0.5481525958651965
81,31,,피크 직접분류,0.5385590662319377
82,32,,피크 직접분류,0.5446085762767018
83,33,,피크 직접분류,0.5375172289674741
84,34,,피크 직접분류,0.5392273108717027
85,35,,피크 직접분류,0.5408964439026882
86,36,,피크 직접분류,0.5358324866637526
87,37,,피크 직접분류,0.523747293649533
88,38,,피크 직접분류,0.5460732052422029
89,39,,피크 직접분류,0.5334362747513954
90,40,,피크 직접분류,0.5372035467641472
91,41,,피크 직접분류,0.5440450650283777
92,42,,피크 직접분류,0.5232232132337743
93,43,,피크 직접분류,0.5323937820329695
94,44,,피크 직접분류,0.5280677878571621
95,45,,피크 직접분류,0.5512975583030499
96,46,,피크 직접분류,0.5401979934933925
97,47,,피크 직접분류,0.5415212138323788
98,48,,피크 직접분류,0.5257917585103057
99,49,,피크 직접분류,0.5466606118503997
