,변수,한글라벨,중요도(MAE 증가),표준편차
0,prod,계획생산량,12.2411,5.294
1,y_avg_lag168,평균전력 168시간 전,9.4088,6.4586
2,hour_cos,시간 cos,2.2936,0.5261
3,prod_cum_day,일 누적생산량,2.2107,3.7776
4,is_shutdown,휴무일,1.8594,3.2181
5,roll168_avg_max,직전168h 평균전력 최대,1.5879,2.7612
6,y_avg_lag24,평균전력 24시간 전,1.3796,0.4549
7,roll168_avg_mean,직전168h 평균전력 평균,1.3222,2.0053
8,hour,시간,0.9904,0.3132
9,hour_sin,시간 sin,0.9696,0.2553
10,y_peak_lag24,peak15 24시간 전,0.5693,0.474
11,y_peak_lag168,peak15 168시간 전,0.4823,0.404
12,roll24_peak_max,직전24h peak15 최대,0.2524,0.2698
13,temp,기온,0.2272,0.1952
14,roll24_avg_mean,직전24h 평균전력 평균,0.1206,0.1522
