,변수,평균 |SHAP|
34,계획생산량,33.2259
2,평균전력 168시간 전,17.8164
35,공장인원(정규화 공수),8.8383
11,직전168h 평균전력 평균,3.8991
5,peak15 168시간 전,3.8062
0,평균전력 24시간 전,2.8257
37,일 누적생산량,2.7487
12,직전168h 평균전력 최대,2.5382
6,직전24h 평균전력 평균,2.0633
8,직전24h 평균전력 표준편차,2.0092
30,휴무 n일차,1.7992
29,휴무일,1.588
13,직전168h 평균전력 표준편차,1.5637
23,시간 cos,1.2009
38,기온,1.0424
21,공휴일,1.0012
1,평균전력 48시간 전,0.8285
18,월,0.7864
16,시간,0.6228
17,요일,0.5684
14,직전168h peak15 최대,0.5259
22,시간 sin,0.4942
36,생산량 전일대비 변화율,0.4732
3,peak15 24시간 전,0.4318
4,peak15 48시간 전,0.4155
42,냉방도일 CDD,0.391
7,직전24h 평균전력 최대,0.3148
24,요일 sin,0.2928
9,직전24h peak15 최대,0.2775
33,가동 전환일,0.2213
10,직전24h 피크 발생건수,0.2148
39,습도,0.172
40,풍속,0.1269
41,강수량,0.115
15,직전168h 피크 발생건수,0.1074
43,난방도일 HDD,0.0606
25,요일 cos,0.0573
27,08시 기동,0.0504
19,토요일,0.0314
31,휴무 직후 재가동일,0.0256
26,주간(9~17시),0.0112
28,13시 재가동,0.0048
32,전일 휴무,0.0014
20,일요일,0.0
