datetime,시간,y_avg,pred_avg,사례
2021-08-02 00:00:00,0,21.0,22.317641296465872,1
2021-08-02 01:00:00,1,21.0,22.19144888199797,1
2021-08-02 02:00:00,2,21.0,21.73248247641402,1
2021-08-02 03:00:00,3,23.0,21.85058140046965,1
2021-08-02 04:00:00,4,21.0,22.237230064444766,1
2021-08-02 05:00:00,5,21.0,21.872796956577503,1
2021-08-02 06:00:00,6,22.0,21.23598680938069,1
2021-08-02 07:00:00,7,21.0,59.47612752957864,1
2021-08-02 08:00:00,8,20.0,180.83612999325973,1
2021-08-02 09:00:00,9,21.0,176.2980287611484,1
2021-08-02 10:00:00,10,22.0,174.1138891686088,1
2021-08-02 11:00:00,11,21.0,179.38893481960076,1
2021-08-02 12:00:00,12,21.0,107.87067986064585,1
2021-08-02 13:00:00,13,22.0,169.8721837012495,1
2021-08-02 14:00:00,14,23.0,173.76024533165307,1
2021-08-02 15:00:00,15,21.0,156.4109064132026,1
2021-08-02 16:00:00,16,21.0,163.56136428495697,1
2021-08-02 17:00:00,17,22.0,133.50195244501214,1
2021-08-02 18:00:00,18,22.0,158.05256317174738,1
2021-08-02 19:00:00,19,21.0,146.36558097421272,1
2021-08-02 20:00:00,20,22.0,118.67161918086802,1
2021-08-02 21:00:00,21,22.0,118.70514033179685,1
2021-08-02 22:00:00,22,22.0,108.70869475253795,1
2021-08-02 23:00:00,23,21.0,98.30033877648279,1
2021-08-03 00:00:00,0,21.0,60.868828801323495,2
2021-08-03 01:00:00,1,23.0,100.46899810344149,2
2021-08-03 02:00:00,2,21.0,104.68791005258302,2
2021-08-03 03:00:00,3,21.0,100.23801638090015,2
2021-08-03 04:00:00,4,21.0,100.88977946333402,2
2021-08-03 05:00:00,5,22.0,88.49469076598025,2
2021-08-03 06:00:00,6,21.0,103.6455484492996,2
2021-08-03 07:00:00,7,20.0,132.82486493645104,2
2021-08-03 08:00:00,8,22.0,179.82252044085652,2
2021-08-03 09:00:00,9,21.0,175.27008214918533,2
2021-08-03 10:00:00,10,21.0,175.64726073567317,2
2021-08-03 11:00:00,11,22.0,179.38297671856975,2
2021-08-03 12:00:00,12,23.0,108.89487284595688,2
2021-08-03 13:00:00,13,21.0,174.39922554870492,2
2021-08-03 14:00:00,14,21.0,178.34855180282563,2
2021-08-03 15:00:00,15,23.0,164.74567388407473,2
2021-08-03 16:00:00,16,22.0,168.62743025377233,2
2021-08-03 17:00:00,17,21.0,149.94660227263597,2
2021-08-03 18:00:00,18,22.0,156.6965546188478,2
2021-08-03 19:00:00,19,23.0,150.90125296013332,2
2021-08-03 20:00:00,20,21.0,141.18550841664057,2
2021-08-03 21:00:00,21,22.0,141.16938118317802,2
2021-08-03 22:00:00,22,21.0,119.06584325910963,2
2021-08-03 23:00:00,23,23.0,105.06610497567898,2
2021-07-31 00:00:00,0,23.0,64.80981543352951,3
2021-07-31 01:00:00,1,21.0,104.41985716707737,3
2021-07-31 02:00:00,2,21.0,103.07291983331646,3
2021-07-31 03:00:00,3,21.0,103.07666142182538,3
2021-07-31 04:00:00,4,23.0,101.78858944914919,3
2021-07-31 05:00:00,5,20.0,95.9349218954076,3
2021-07-31 06:00:00,6,21.0,110.40986827662172,3
2021-07-31 07:00:00,7,22.0,60.883328589572045,3
2021-07-31 08:00:00,8,21.0,22.588844508246204,3
2021-07-31 09:00:00,9,21.0,22.47770553455137,3
2021-07-31 10:00:00,10,22.0,22.62141759241797,3
2021-07-31 11:00:00,11,23.0,22.600644868629125,3
2021-07-31 12:00:00,12,21.0,22.808729888884137,3
2021-07-31 13:00:00,13,21.0,22.239883934895232,3
2021-07-31 14:00:00,14,22.0,22.301634757479498,3
2021-07-31 15:00:00,15,22.0,22.316740850863688,3
2021-07-31 16:00:00,16,21.0,22.106754673212528,3
2021-07-31 17:00:00,17,21.0,22.22543737972704,3
2021-07-31 18:00:00,18,23.0,22.240374432972793,3
2021-07-31 19:00:00,19,21.0,22.007188634791937,3
2021-07-31 20:00:00,20,21.0,22.801856794974256,3
2021-07-31 21:00:00,21,23.0,23.277488709505953,3
2021-07-31 22:00:00,22,21.0,22.838273772975022,3
2021-07-31 23:00:00,23,21.0,22.705819066373486,3
