datetime,현행,L1 적용
0,55.46973627323822,55.46973627323822
1,82.55685257241677,82.55685257241677
2,83.12256809338521,83.12256809338521
3,82.33765672287073,82.33765672287073
4,82.12862083873756,82.12862083873756
5,78.9662775616083,78.9662775616083
6,83.17747514051015,83.17747514051015
7,107.64159100734977,107.64159100734977
8,129.2302204928664,112.07734543882404
9,124.07565931690445,107.66116155065572
10,124.32576740164289,124.32576740164289
11,126.31906614785993,109.50453955901428
12,89.7704280155642,89.7704280155642
13,124.29961089494164,107.84643320363165
14,124.05058365758755,124.05058365758755
15,121.4863813229572,121.4863813229572
16,117.85603112840467,117.85603112840467
17,112.19844357976653,112.19844357976653
18,113.58906182447039,113.58906182447039
19,106.9641158668396,106.9641158668396
20,90.64267185473412,90.64267185473412
21,89.68698659749244,89.68698659749244
22,85.0853869433636,85.0853869433636
23,84.7367055771725,84.7367055771725
