그룹,일수,잉여(복제)일,기온_최저,기온_최고,날짜목록
1,15,14,-3.4,19.2,"20210105, 20210106, 20210112, 20210113, 20210119, 20210120, 20210126, 20210127, 20210131, 20210305, 20210312, 20210319, 20210326, 20210331, 20210530"
2,7,6,-0.2,22.2,"20210102, 20210205, 20210306, 20210313, 20210320, 20210327, 20210605"
3,6,5,7.1,21.2,"20210206, 20210212, 20210213, 20210220, 20210227, 20210612"
4,6,5,10.6,17.4,"20210412, 20210413, 20210414, 20210415, 20210416, 20210518"
5,5,4,9.1,23.1,"20210207, 20210214, 20210221, 20210228, 20210613"
6,5,4,15.8,19.0,"20210421, 20210422, 20210423, 20210430, 20210525"
7,4,3,1.0,20.9,"20210104, 20210204, 20210304, 20210604"
8,4,3,-8.8,24.1,"20210108, 20210208, 20210308, 20210608"
9,4,3,-1.3,20.8,"20210111, 20210211, 20210311, 20210611"
10,4,3,9.0,20.7,"20210115, 20210215, 20210315, 20210615"
11,4,3,-3.6,18.6,"20210117, 20210217, 20210317, 20210617"
12,4,3,-4.0,20.9,"20210118, 20210218, 20210318, 20210618"
13,4,3,7.7,19.6,"20210122, 20210222, 20210322, 20210622"
14,4,3,6.7,19.5,"20210123, 20210223, 20210323, 20210623"
15,4,3,5.9,21.0,"20210124, 20210224, 20210324, 20210624"
16,4,3,6.9,22.4,"20210125, 20210225, 20210325, 20210625"
17,4,3,11.6,19.7,"20210411, 20210418, 20210425, 20210516"
18,3,2,7.0,21.8,"20210114, 20210314, 20210614"
19,3,2,-3.6,22.8,"20210129, 20210329, 20210629"
20,3,2,2.0,22.7,"20210130, 20210330, 20210630"
21,3,2,10.6,20.2,"20210201, 20210301, 20210601"
22,3,2,1.9,21.2,"20210202, 20210302, 20210602"
23,3,2,-0.5,18.6,"20210203, 20210303, 20210603"
24,3,2,1.6,22.5,"20210209, 20210309, 20210609"
25,3,2,6.0,22.0,"20210210, 20210310, 20210610"
26,3,2,1.1,19.1,"20210216, 20210316, 20210616"
27,3,2,10.0,15.3,"20210401, 20210405, 20210503"
28,3,2,11.3,16.9,"20210402, 20210406, 20210504"
29,3,2,9.2,19.1,"20210409, 20210509, 20210510"
30,3,2,8.9,17.8,"20210410, 20210417, 20210508"
31,3,2,16.5,19.8,"20210419, 20210420, 20210524"
32,3,2,12.0,18.9,"20210426, 20210427, 20210527"
33,3,2,16.3,18.4,"20210428, 20210429, 20210528"
34,2,1,-0.5,22.9,"20210103, 20210606"
35,2,1,-6.5,24.2,"20210107, 20210607"
36,2,1,6.7,22.1,"20210121, 20210621"
37,2,1,3.8,22.9,"20210128, 20210628"
38,2,1,3.9,23.1,"20210219, 20210619"
39,2,1,8.6,22.4,"20210226, 20210626"
40,2,1,12.2,14.5,"20210403, 20210501"
41,2,1,10.3,12.6,"20210404, 20210502"
42,2,1,14.9,16.8,"20210407, 20210506"
43,2,1,13.1,19.0,"20210408, 20210507"
44,2,1,14.8,19.3,"20210424, 20210522"
45,2,1,26.9,28.6,"20210728, 20210730"
