변수,구분,단위,값역,고유값,결측,의미
날짜,시간정보,YYYYMMDD 정수,2.02101e+07 ~ 2.02109e+07,257,0,관측 일자
시간,시간정보,0~23 정수,0 ~ 188,60,0,관측 시각(7/13·7/15는 손상되어 70~188)
15분,전력정보,kW,0 ~ 207,166,0,해당 시간 1번째 15분 구간 최대수요
30분,전력정보,kW,0 ~ 222,185,0,해당 시간 2번째 15분 구간 최대수요
45분,전력정보,kW,0 ~ 218,187,0,해당 시간 3번째 15분 구간 최대수요
60분,전력정보,kW,0 ~ 214,183,0,해당 시간 4번째 15분 구간 최대수요
평균,전력정보,kW,0 ~ 208,176,0,시간별 평균전력 = round(4개 구간 평균)
생산량,생산정보,개(정수 카운트),0 ~ 9830,1637,0,ERP 등록 생산 실적/계획
기온,기상정보,°C,-12 ~ 33.4,439,0,외기 온도
풍속,기상정보,m/s,0 ~ 7.6,70,3,풍속
습도,기상정보,%,8 ~ 98,90,0,상대습도
강수량,기상정보,mm,0 ~ 122.4,244,1,시간 강수량
전기요금(계절),비용정보,원/kWh,109.8 ~ 191.6,3,0,계절별 전력량 요금단가
day,시간정보,1~7 정수,1 ~ 7,7,0,요일 코드(파생변수와 중복 → 모델 입력에서 제외)
d,시간정보,1~31 정수,1 ~ 31,31,0,일(파생변수와 중복 → 제외)
m,시간정보,1~12 정수,1 ~ 9,9,0,월(파생변수와 중복 → 제외)
공장인원,생산정보,0~48.39 연속 실수,0 ~ 48.3864,3432,17,**인원수가 아님** — 정규화 투입 공수
인건비,비용정보,교대 배수(1.0/1.5),1 ~ 1.5,2,0,"**금액이 아님** — 9~17시만 1.0, 그 외 1.5"
