ID,변형,조건,피처수,OOF MAE,Peak-MAE,Recall,F1,FP,FN,fold 표준편차,fold2,fold3,fold4,fold5,정상일 MAE,토요일 MAE,상위2일 제외 MAE,ΔOOF MAE,ΔPeak-MAE,ΔRecall,ΔF1,Δfold 표준편차,Δfold2,Δfold3,Δfold4,Δfold5,Δ정상일 MAE,Δ토요일 MAE,Δ상위2일 제외 MAE,ΔMAE CI 하한,ΔMAE CI 상한,p,개선 fold 수,① CI가 0 미포함,② 정상 fold 악화 ≤ 잡음,③ 정상일 악화 ≤ 잡음,④ Recall·Peak-MAE,①~④ 통과,구분
A,최종모델 (44개),D1,44,11.006654,23.872763,0.846154,0.642336,123,24,8.460604,7.079096,23.436534,7.161221,5.510611,6.975009,7.454621,7.529701,,,,,,,,,,,,,,,,,,,,,,
G-과거전력,과거전력 6개 제거,D1,38,7.875745,18.255711,0.858974,0.694301,96,22,4.381417,6.2981,14.28079,5.788635,4.75203,8.280121,18.958306,8.142812,-3.130909,-5.617052,0.012821,0.051965,-4.079187,-0.780995,-9.155744,-1.372586,-0.758581,1.305112,11.503685,0.613111,-9.18379,2.344289,0.304,4.0,False,True,False,True,False,변형
G-이동통계,이동통계 10개 제거,D1,34,10.597002,23.397706,0.807692,0.63,118,30,7.574934,7.008341,21.668607,7.625249,5.305415,6.687852,3.249786,7.029846,-0.409652,-0.475057,-0.038462,-0.012336,-0.88567,-0.070754,-1.767928,0.464028,-0.205196,-0.287157,-4.204835,-0.499855,-1.431933,0.392971,0.396,3.0,False,True,True,False,False,변형
G-시간정보,시간정보 10개 제거,D1,34,11.680031,25.681344,0.814103,0.613527,131,29,7.907822,7.998811,23.21429,8.692941,6.000853,7.212036,7.412018,8.19886,0.673377,1.80858,-0.032051,-0.028809,-0.552782,0.919716,-0.222245,1.531719,0.490241,0.237027,-0.042604,0.669158,0.092616,1.300336,0.022,1.0,False,False,False,False,False,변형
G-공정상태,공정상태 8개 제거,D1,36,11.15787,23.792083,0.814103,0.647959,109,29,8.823226,6.764642,24.099462,7.461382,5.38638,6.915072,8.993275,7.69166,0.151216,-0.08068,-0.032051,0.005623,0.362622,-0.314454,0.662927,0.300161,-0.124231,-0.059937,1.538653,0.161959,-0.136555,0.522446,0.381,2.0,False,True,True,False,False,변형
G-생산정보,생산정보 4개 제거,D1,40,12.183439,30.165743,0.846154,0.631579,130,24,7.107065,7.441126,21.541266,12.976608,5.772943,7.241291,6.383589,8.877164,1.176785,6.292979,0.0,-0.010757,-1.353538,0.36203,-1.895269,5.815387,0.262331,0.266282,-1.071033,1.347463,-0.841773,3.770064,0.372,1.0,False,False,False,False,False,변형
G-기상정보,기상정보 6개 제거,D1,38,10.985441,24.841659,0.852564,0.65679,116,23,8.759188,7.20461,23.83589,6.986525,5.07561,7.262127,7.973204,7.629481,-0.021213,0.968896,0.00641,0.014454,0.298585,0.125514,0.399356,-0.174696,-0.435002,0.287118,0.518583,0.09978,-0.382952,0.368456,0.879,2.0,False,True,False,False,False,변형
L24,24시간 전 2개 제거,D1,42,10.435942,21.068568,0.775641,0.617347,115,35,8.315961,6.389862,22.689913,6.305613,5.532266,6.581544,7.079586,6.959052,-0.570712,-2.804196,-0.070513,-0.024989,-0.144643,-0.689234,-0.746621,-0.855608,0.021654,-0.393465,-0.375036,-0.57065,-1.055989,-0.142575,0.005,3.0,True,True,True,False,False,변형
L48,48시간 전 2개 제거,D1,42,7.559551,25.065477,0.762821,0.648501,92,37,1.801071,7.266534,9.848741,7.515002,5.459831,7.052139,7.504024,7.757719,-3.447103,1.192714,-0.083333,0.006166,-6.659532,0.187438,-13.587793,0.353781,-0.05078,0.07713,0.049403,0.228018,-9.160128,0.38306,0.255,2.0,False,True,True,False,False,변형
L168,168시간 전 2개 제거,D1,42,10.237126,22.242291,0.833333,0.653266,112,26,8.499922,6.639761,22.754251,5.74885,5.028186,8.693872,17.813992,8.282202,-0.769528,-1.630473,-0.012821,0.010931,0.039318,-0.439334,-0.682284,-1.412371,-0.482425,1.718863,10.359371,0.752501,-4.59615,3.428449,0.684,4.0,False,True,False,False,False,변형
