ID,변형,조건,피처수,OOF MAE,Peak-MAE,Recall,F1,FP,FN,fold 표준편차,fold2,fold3,fold4,fold5,정상일 MAE,토요일 MAE,상위2일 제외 MAE,ΔOOF MAE,ΔPeak-MAE,ΔRecall,ΔF1,Δfold 표준편차,Δfold2,Δfold3,Δfold4,Δfold5,Δ정상일 MAE,Δ토요일 MAE,Δ상위2일 제외 MAE,ΔMAE CI 하한,ΔMAE CI 상한,p,개선 fold 수,① CI가 0 미포함,② 정상 fold 악화 ≤ 잡음,③ 정상일 악화 ≤ 잡음,④ Recall·Peak-MAE,①~④ 통과,구분,잡음 초과 개선·3/4 fold
LOFO-y_avg_lag24,평균전력 24시간 전 제거,D1,43,10.892763,22.509894,0.788462,0.625954,114,33,8.255675,7.090601,23.05007,6.800288,5.830816,6.953027,7.504703,7.436282,-0.113891,-1.362869,-0.057692,-0.016382,-0.204929,0.011506,-0.386464,-0.360934,0.320205,-0.021982,0.050081,-0.09342,-0.319579,0.083308,0.257,2.0,False,False,True,False,False,개별 변수 제거,False
LOFO-y_avg_lag48,평균전력 48시간 전 제거,D1,43,10.756413,23.515014,0.801282,0.623441,120,31,8.302902,6.992678,22.966414,6.809846,5.450588,6.813091,7.058642,7.344861,-0.250241,-0.357749,-0.044872,-0.018894,-0.157701,-0.086418,-0.47012,-0.351375,-0.060024,-0.161918,-0.395979,-0.18484,-0.451477,-0.048783,0.016,4.0,True,True,True,False,False,개별 변수 제거,True
LOFO-y_avg_lag168,평균전력 168시간 전 제거,D1,43,11.01206,26.215176,0.858974,0.64891,123,22,8.516191,7.020342,23.486648,7.464653,5.212942,7.006173,7.713707,7.673503,0.005406,2.342413,0.012821,0.006575,0.055588,-0.058753,0.050114,0.303432,-0.297669,0.031165,0.259086,0.143801,-0.393196,0.44979,0.992,2.0,False,True,True,False,False,개별 변수 제거,False
LOFO-y_peak_lag24,peak15 24시간 전 제거,D1,43,10.784464,23.175276,0.839744,0.650124,116,25,8.468747,6.91032,23.233455,6.832564,5.33221,6.768908,7.674114,7.344249,-0.22219,-0.697487,-0.00641,0.007788,0.008143,-0.168776,-0.20308,-0.328657,-0.178401,-0.2061,0.219493,-0.185452,-0.423031,-0.027787,0.024,4.0,True,True,True,True,True,개별 변수 제거,True
LOFO-y_peak_lag48,peak15 48시간 전 제거,D1,43,10.950509,24.514007,0.807692,0.647815,107,30,8.340771,7.196301,23.181255,7.291601,5.311244,6.959361,7.677104,7.558409,-0.056145,0.641244,-0.038462,0.005479,-0.119833,0.117205,-0.25528,0.130379,-0.199367,-0.015648,0.222482,0.028707,-0.249649,0.1232,0.618,2.0,False,True,True,False,False,개별 변수 제거,False
LOFO-y_peak_lag168,peak15 168시간 전 제거,D1,43,10.935105,23.171978,0.871795,0.657005,122,20,8.298381,7.22438,23.100536,7.305094,5.294942,6.786447,7.834158,7.489425,-0.071548,-0.700786,0.025641,0.014669,-0.162223,0.145285,-0.335998,0.143873,-0.215669,-0.188562,0.379537,-0.040276,-0.294834,0.152691,0.519,2.0,False,True,True,True,False,개별 변수 제거,False
LOFO-roll24_avg_mean,직전24h 평균전력 평균 제거,D1,43,11.043317,23.638171,0.846154,0.651852,117,24,8.240761,7.085084,23.1021,7.742375,5.392336,6.854379,7.48363,7.62663,0.036664,-0.234592,0.0,0.009516,-0.219842,0.005989,-0.334435,0.581154,-0.118275,-0.12063,0.029009,0.096928,-0.250611,0.360771,0.883,2.0,False,True,True,True,False,개별 변수 제거,False
LOFO-roll24_avg_max,직전24h 평균전력 최대 제거,D1,43,10.906406,23.785581,0.788462,0.656,96,33,8.201026,7.183967,22.951501,7.162273,5.523771,6.912318,7.384839,7.500797,-0.100248,-0.087182,-0.057692,0.013664,-0.259577,0.104871,-0.485034,0.001052,0.01316,-0.062691,-0.069782,-0.028904,-0.308401,0.112696,0.307,1.0,False,True,True,False,False,개별 변수 제거,False
LOFO-roll24_avg_std,직전24h 평균전력 표준편차 제거,D1,43,10.700231,22.719586,0.833333,0.637255,122,26,7.879839,7.168875,22.280898,7.003689,5.58413,7.044186,6.158784,7.287488,-0.306423,-1.153177,-0.012821,-0.005081,-0.580765,0.089779,-1.155636,-0.157532,0.073519,0.069177,-1.295837,-0.242213,-0.930437,0.116683,0.2,2.0,False,True,True,False,False,개별 변수 제거,False
LOFO-roll24_peak_max,직전24h peak15 최대 제거,D1,43,10.970429,24.400149,0.820513,0.646465,112,28,8.443999,7.05226,23.345477,7.38684,5.247867,6.870296,7.239552,7.522758,-0.036225,0.527386,-0.025641,0.004129,-0.016604,-0.026835,-0.091057,0.225619,-0.262744,-0.104713,-0.21507,-0.006944,-0.209322,0.162079,0.682,3.0,False,True,True,False,False,개별 변수 제거,False
