변수,한글라벨,중요도(MAE 증가),표준편차
prod,계획생산량,12.2411,5.294
y_avg_lag168,평균전력 168시간 전,9.4088,6.4586
hour_cos,시간 cos,2.2936,0.5261
prod_cum_day,일 누적생산량,2.2107,3.7776
is_shutdown,휴무일,1.8594,3.2181
roll168_avg_max,직전168h 평균전력 최대,1.5879,2.7612
y_avg_lag24,평균전력 24시간 전,1.3796,0.4549
roll168_avg_mean,직전168h 평균전력 평균,1.3222,2.0053
hour,시간,0.9904,0.3132
hour_sin,시간 sin,0.9696,0.2553
y_peak_lag24,peak15 24시간 전,0.5693,0.474
y_peak_lag168,peak15 168시간 전,0.4823,0.404
roll24_peak_max,직전24h peak15 최대,0.2524,0.2698
temp,기온,0.2272,0.1952
roll24_avg_mean,직전24h 평균전력 평균,0.1206,0.1522
roll24_avg_std,직전24h 평균전력 표준편차,0.0734,0.1117
is_sat,토요일,0.0601,0.0727
dow_sin,요일 sin,0.0344,0.044
roll24_avg_max,직전24h 평균전력 최대,0.0307,0.0973
is_state_switch,가동 전환일,0.0164,0.0115
roll168_avg_std,직전168h 평균전력 표준편차,0.0125,0.0409
is_startup_08,08시 기동,0.0107,0.0193
dow_cos,요일 cos,0.0066,0.0025
is_daytime,주간(9~17시),0.0026,0.0058
is_restart_13,13시 재가동,0.0017,0.0045
is_holiday,공휴일,0.0017,0.0029
is_first_day_back,휴무 직후 재가동일,0.0008,0.0007
prev_day_shutdown,전일 휴무,0.0004,0.0006
month,월,0.0,0.0
is_sun,일요일,0.0,0.0
hdd,난방도일 HDD,0.0,0.0
shutdown_nth,휴무 n일차,-0.0032,0.0058
dow,요일,-0.0039,0.0458
roll168_peak_max,직전168h peak15 최대,-0.0073,0.0151
wind,풍속,-0.0103,0.017
roll24_peak_cnt,직전24h 피크 발생건수,-0.0175,0.0118
rain,강수량,-0.023,0.0204
cdd,냉방도일 CDD,-0.0248,0.0394
prod_chg_ratio,생산량 전일대비 변화율,-0.0271,0.0531
humid,습도,-0.0329,0.0273
roll168_peak_cnt,직전168h 피크 발생건수,-0.0466,0.102
headcount,공장인원(정규화 공수),-0.146,1.8053
y_peak_lag48,peak15 48시간 전,-0.1567,0.7423
y_avg_lag48,평균전력 48시간 전,-1.1215,3.8725
