번들,모드,bundle_id,파일,sha256,bytes,트리수,학습행수
eval,FULL,eval-full-7be5289680f8,calibrator_isotonic.json,b350e651aea6be798ac2343d367834c5bba5c74477e72df5f613bf70f8ded70a,1565,0,5599
eval,FULL,eval-full-7be5289680f8,fallback_y_avg.lgb,8cfb685b4ca40f0c1c9bc591647586b0f0c450c3ef61d2848ce82ca7ad619df1,2238966,800,5599
eval,FULL,eval-full-7be5289680f8,fallback_y_peak.lgb,565b599f5d1558269428ddad9d72934bb2313d51b9396411789f88f18a39d7b1,2237286,800,5599
eval,FULL,eval-full-7be5289680f8,gate.lgb,a4d73422d1f0f0ae4d307da0d54b3ef93761f0397ffbaf26eeb598d41a1cb6a5,2468615,1200,5599
eval,FULL,eval-full-7be5289680f8,golden.json,5e62a05b36b3aab110dfb46aac9f3f7d4c273bd5f0fc6a26296c5cf05a7de149,92232,0,5599
eval,FULL,eval-full-7be5289680f8,interval_q10.lgb,533126d7e122c1427167df1c20d171d4d88af2003cb4fd78d381da862e0de623,2290565,800,5599
eval,FULL,eval-full-7be5289680f8,interval_q50.lgb,4e065edf2449af91061f935a06582a21bbd5aafd68072e68a28422a117d518df,2257786,800,5599
eval,FULL,eval-full-7be5289680f8,interval_q90.lgb,f8bf3ac33902eed565ed92b2e579685adf6ef580a0dafc4b682c1d1993fa8241,2285439,800,5599
eval,FULL,eval-full-7be5289680f8,peak_clf.lgb,c531ba9cbbbcfed362c8d0f37ce250c55215587aa269add77d8d37f83b8547dc,1393967,800,5599
eval,FULL,eval-full-7be5289680f8,reg_y_avg_r0.lgb,cde9949e2fcaf7bb04d08eb19e1bbde6595bf6d3e3654327bd20992e29846e3d,2254712,800,5599
eval,FULL,eval-full-7be5289680f8,reg_y_avg_r1.lgb,61186bb67a737e4dc484d43fdd0a9844663f20a17ce0c7f472c93932cf19f443,550132,800,5599
eval,FULL,eval-full-7be5289680f8,reg_y_avg_r2.lgb,82fbb3dad60af196735e9c8e9d00c479f27986f91bbe6046626380a516fe79a0,2237456,800,5599
eval,FULL,eval-full-7be5289680f8,reg_y_peak_r0.lgb,40d35a67cb4354a2fdcad8526525cef3be8d3de3ad7945fd63f6d415ede43d32,2247961,800,5599
eval,FULL,eval-full-7be5289680f8,reg_y_peak_r1.lgb,c4699d3c6785f479189931c61f25118fb9043a485ee7e61b22ac54c6ddecbf91,548920,800,5599
eval,FULL,eval-full-7be5289680f8,reg_y_peak_r2.lgb,9d66a6a087b71f4e1fd43b992a5ce0af444ea2d9eee09d2a3149229ed2899eb6,2236736,800,5599
eval,FULL,eval-full-7be5289680f8,manifest.json,9cbecbd277c1407de6db9d395a6735606cd370139873673c1a36a3e04a6ff5ea,8153,0,5599
deploy,FULL,deploy-full-d8293292a723,calibrator_isotonic.json,b350e651aea6be798ac2343d367834c5bba5c74477e72df5f613bf70f8ded70a,1565,0,5935
deploy,FULL,deploy-full-d8293292a723,fallback_y_avg.lgb,d5f25eb31bfdf39d988724acc914fdf495d6dfe495d46cdf21b75344757c1201,2241125,800,5935
deploy,FULL,deploy-full-d8293292a723,fallback_y_peak.lgb,ebe94d331fc7da1bfcf53b605dbc81fc1f04c123e6a31ab209d0c759627cb075,2236087,800,5935
deploy,FULL,deploy-full-d8293292a723,gate.lgb,bc504887f03cc541e91a19dbee6ed1052cc451893720f48bd0d99bcb176afd19,2524662,1200,5935
deploy,FULL,deploy-full-d8293292a723,golden.json,40b59fbfe0fd6d126a54f7ec22793c507bb9656f275b566c6b622066896d44d4,92230,0,5935
deploy,FULL,deploy-full-d8293292a723,interval_q10.lgb,ae91ac07d154d113258f56b71237827da80e87c872420819fe839de36ccf318f,2290679,800,5935
deploy,FULL,deploy-full-d8293292a723,interval_q50.lgb,6702e01e115bc984ee3dd6c5beec3a777bdbf574d113435cd6b7019ee34571f6,2249074,800,5935
deploy,FULL,deploy-full-d8293292a723,interval_q90.lgb,f87aa1f36e6bb86a56b4e9176926b83af4505efabd71de53ed0b30d5d39b8bb4,2286987,800,5935
deploy,FULL,deploy-full-d8293292a723,peak_clf.lgb,e0442fc568c4b480e6a08457051eacf443947552a7f62ab11062fbd8e6e614b2,1461197,800,5935
deploy,FULL,deploy-full-d8293292a723,reg_y_avg_r0.lgb,93d58da634a237123ea53bf8c26d769c88be0f92f885d30cc99afcee5e3ede55,2254981,800,5935
deploy,FULL,deploy-full-d8293292a723,reg_y_avg_r1.lgb,afa0ab1b0b5982c3b6d31aa4fb42ad54643a031055f76bedd8165b302bdee141,592120,800,5935
deploy,FULL,deploy-full-d8293292a723,reg_y_avg_r2.lgb,81ad579eb7908295a81131a0dc61aa26d8d238c8e62963e4fb58d36bf28ad458,2237095,800,5935
deploy,FULL,deploy-full-d8293292a723,reg_y_peak_r0.lgb,023d6ff317badfa07cb9b0db9e344caaf914fc744fa0325ddab1ee7706a1d4f2,2245996,800,5935
deploy,FULL,deploy-full-d8293292a723,reg_y_peak_r1.lgb,69c24cb5a7a847cdf25a13c3ec1367a984bda9f5453dfbb8c47361ce30f87d35,589028,800,5935
deploy,FULL,deploy-full-d8293292a723,reg_y_peak_r2.lgb,4d95cee3fda7e0d2148e698e233682cd109529f99b39d311108f18864c4ed417,2236923,800,5935
deploy,FULL,deploy-full-d8293292a723,manifest.json,84f1c416219f4617ed19e349196ccf22abeeacc26109323dcfaa490d9f6e9a03,8091,0,5935
