위치,플레이스홀더,채움값,산출 근거(노트북 절)
1쪽 내용요약,[TBD]% (MAE 개선),13.56%,6.1 유의성 검정
1쪽 내용요약,[TBD] (피크 Recall),0.929,6.2 피크탐지표
1쪽 내용요약,[TBD] (피크 F1),0.525,6.2 피크탐지표
1쪽 내용요약,[TBD] kW (최대수요 저감),13.2 kW,8.3 시나리오 (전체기간 기준)
2장 도입,[최종모델명 ],2단계 레짐(3분류),6.4 스코어카드
2장 도입,[TBDd]% (MAE 개선),13.56%,6.1
2장 도입,[TBDDd] (Recall),0.929,6.2
2.5절,[TBDd]회 탐색,100회,5.1·5.4 Optuna 이력
2.6절 표,[최종모델],2단계 레짐(3분류),6.4
2.6절 본문,[최종모델명 ],2단계 레짐(3분류),6.4
2.6절 본문,[TBDD] (최종 MAE),5.220,6.1
2.6절 본문,[TBDd] (최선 베이스라인 MAE),6.039 (Random Forest (보정)),6.1
2.6절 본문,[Tbdd]% (개선율),13.56%,6.1
2.6절 본문,[TBDd]% (Peak-MAE 감소),-3.53%,6.1
2.7절 본문,[TBDd] (직접분류 Recall),1.000,6.2
2.7절 본문,[TBD] (전체 피크 건수),28건,1.6 θ 적용
2.7절 본문,[TBDd] (탐지 건수),28건,6.2
2.7절 본문,[TBDd] (오경보),48건,6.2
2.7절 본문,[TBdd] (미탐지),0건,6.2
2.9절,[최종모델명 ],2단계 레짐(3분류),6.4
2.9절,[TBD]% (MAE 개선),13.56%,6.1
2.9절,[TBDd] (Recall),0.929,6.2
2.9절,[TBDd]초 (추론시간),4.33초,"6.4 (336h 배치, 10회 중앙값)"
3장 도입,[상위변수 1],계획생산량,7.1 permutation
3장 도입,[상위변수 2],평균전력 168시간 전,7.1 permutation
3장 도입,[상위변수 3],시간 cos,7.1 permutation
3장 도입,"[가동전환, 휴일 다음날, …]","휴일 영향, 가동전환, 주·야간",7.3 조건별 오차
3장 도입,[TBDd]% (초과율),70.3%,7.3
3.1절,[예:24시간 전 전력],계획생산량,7.1
3.1절,[예: 생산량],평균전력 168시간 전,7.1
3.2절,[실제 확인된 상호작용],생산량 × 주·야간,7.2
3.3절,[실제 조건] (최대오차),휴일 영향,7.3
3.3절,[TBD]% (평균 대비),70.3%,7.3
3.3절,[실제 조건] (안정),생산량 변화,7.3
3.4절,[실제 조건] (FN 집중),"15시, 18시, 16시 시간대",7.4
3.4절,[TBDd]% (FN 비중),50.0%,7.4
3.4절,[실제조건] (FP 집중),"16시, 13시, 10시 시간대",7.4
